16	766
52102	57149
65034	67300
157705	158620
183190	184875
212973	214359
297459	299049
496031	496831
555851	560161
627232	628572
654416	655396
679869	681534
697713	703313
721423	727545
761930	764496
784271	789417
796432	798172
882106	884076
895973	902469
920710	922914
954550	956635
1044263	1046428
1061777	1070362
1071452	1076062
1086140	1088407
1187346	1187901
1204616	1206406
1242184	1250844
1256980	1258261
1265842	1268983
1323063	1325033
1347976	1349861
1354306	1357021
1461233	1463483
1481576	1490221
1497531	1508261
1514721	1517229
1557934	1560054
1638187	1641567
1644622	1645522
1664283	1665538
1720216	1721047
1802373	1804348
1856304	1858524
1920230	1921665
1957973	1959163
2035192	2037127
2067952	2071762
2118182	2123182
2225509	2229997
2291156	2292237
2341042	2342948
2360453	2362403
2441252	2442027
2442872	2452137
2622608	2624753
2755579	2763261
2765651	2767461
2842824	2844324
2904354	2906490
2933243	2935183
2964393	2965168
2981916	2983101
3015181	3017911
3049126	3052466
3087098	3091568
3098168	3099448
3119446	3120376
3149866	3153306
3205939	3207216
3290139	3291894
3296754	3297429
3407692	3410737
3497943	3498443
3526142	3548367
3682389	3686365
3728289	3731169
3904051	3907351
3913276	3916422
3929572	3930832
3935927	3938692
3961277	3963642
3978773	3980378
4057345	4057973
4293520	4297896
4326226	4331391
4518217	4519762
4558441	4560862
4567488	4570737
4628441	4633597
4670077	4671912
4712178	4715263
4760276	4761096
4794097	4794627
4818947	4821462
4830047	4831732
4842790	4845370
5068236	5070356
5071111	5072721
5100671	5101461
5170773	5172898
5213812	5216097
5241849	5243455
5308120	5309197
5423612	5424357
5512387	5514372
5723896	5728179
5820263	5820998
5925803	5929333
5933213	5933806
6258896	6259928
